Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
400,1000,2000,2000,75.5510195568081,-15.86195711004861,99.9,46.2,0.6622270000000001,0.49192507360355814,670487
400,1000,2000,2000,91.18403675904034,-13.407937021985274,99.9,17.4,0.918789,0.5021917214875805,116739
400,1000,2000,2000,33.33333333333333,inf,0.0,0.0,0.05186,0.49204822629765954,26225
400,1000,2000,2000,94.33254281500592,-19.797678515973907,99.9,11.200000000000001,0.9655480000000001,0.5108332246145315,777572
400,1000,2000,2000,86.78571672677646,-5.767097580618296,98.1,24.2,0.9037930000000001,0.5074998008370667,288389
400,900,2000,2000,81.89881437234139,-15.85374996371164,99.9,35.0,0.7378830000000001,0.491738926300896,670487
400,900,2000,2000,88.83725346935384,-10.423937140610876,99.0,21.099999999999998,0.89803,0.5005008392989128,116739
400,900,2000,2000,33.33333333333333,inf,0.0,0.0,0.055496000000000004,0.49395258513198653,26225
400,900,2000,2000,94.13059427732942,-23.644747700233598,99.9,11.600000000000001,0.947486,0.5078546909346353,777572
400,900,2000,2000,88.0992722402414,-5.450612491794891,97.39999999999999,21.0,0.918692,0.5051238334415672,288389
400,800,2000,2000,82.17259402153303,-15.631808057124303,99.9,34.5,0.762871,0.4945633937848851,670487
400,800,2000,2000,89.6041922356437,-9.146045621437096,99.3,19.900000000000002,0.896124,0.4969804321753745,116739
400,800,2000,2000,33.33333333333333,inf,0.0,0.0,0.062179,0.4929850521444241,26225
400,800,2000,2000,93.52630465661939,-22.0445186179055,99.6,12.5,0.952166,0.5096491217636075,777572
400,800,2000,2000,90.0378260725186,-5.089469632018214,98.0,17.8,0.936111,0.5056580130737641,288389
400,700,2000,2000,82.95356381855528,-11.589566383505264,98.6,31.900000000000002,0.783986,0.49357219086668486,670487
400,700,2000,2000,88.94050826697007,-8.791936732998968,99.0,20.9,0.889795,0.4987618439752111,116739
400,700,2000,2000,33.33333333333333,inf,0.0,0.0,0.07214300000000001,0.49442401545285214,26225
400,700,2000,2000,92.92323390142367,-21.925017788664494,99.1,13.200000000000001,0.9427069999999999,0.5090343680407254,777572
400,700,2000,2000,89.68966132046266,-5.350892316219062,97.39999999999999,17.9,0.9338850000000001,0.5072738055526922,288389
400,600,2000,2000,83.2501775506791,-11.680837386617453,99.1,31.8,0.803021,0.4965253028798997,670487
400,600,2000,2000,89.08419421644224,-9.640983111735702,99.5,21.099999999999998,0.895646,0.49743104608580224,116739
400,600,2000,2000,33.33333333333333,inf,0.0,0.0,0.05070500000000001,0.49370254284977433,26225
400,600,2000,2000,91.90507112098926,-20.397347486847636,99.4,15.5,0.9365240000000001,0.5064012263424091,777572
400,600,2000,2000,90.2990091669337,-6.090908641967414,97.6,16.900000000000002,0.941433,0.5078339552027445,288389
400,500,2000,2000,82.87242727448013,-10.403105663963753,99.1,32.5,0.7894380000000001,0.49604820914291625,670487
400,500,2000,2000,87.46184937721686,-8.42424273380969,99.9,24.6,0.868082,0.4966561941954337,116739
400,500,2000,2000,33.33333333333333,inf,0.0,0.0,0.05355300000000001,0.49386783041924853,26225
400,500,2000,2000,91.28926658897497,-20.15301960316382,99.7,17.0,0.934653,0.5088159400394956,777572
400,500,2000,2000,91.85779078744211,-8.059602438284617,99.1,15.299999999999999,0.9524799999999999,0.5088108783500433,288389
400,400,2000,2000,82.05245363271968,-10.519467263119163,99.2,34.1,0.7963029999999999,0.49658586505058366,670487
400,400,2000,2000,87.84755979000583,-5.983261850770476,99.2,23.200000000000003,0.887847,0.49694568995972377,116739
400,400,2000,2000,33.33333333333333,inf,0.0,0.0,0.067638,0.49603825216222214,26225
400,400,2000,2000,91.24110519130633,-18.14476992690831,99.5,16.900000000000002,0.92419,0.5085885868994681,777572
400,400,2000,2000,91.14042823948229,-7.441042649718689,99.4,17.0,0.9410409999999999,0.5068631080105614,288389
400,300,2000,2000,81.99186863606874,-2.950890834335985,98.4,33.5,0.78269,0.49568172282236067,670487
400,300,2000,2000,88.46546113872205,-5.092368728110162,99.4,22.2,0.889298,0.4972851211383399,116739
400,300,2000,2000,33.33333333333333,inf,0.0,0.0,0.07793800000000001,0.4975371412670918,26225
400,300,2000,2000,89.14053356178432,-15.065459081042206,96.6,18.2,0.911867,0.5081488635048615,777572
400,300,2000,2000,90.01174376793347,-9.317694400239553,99.5,19.3,0.9301020000000001,0.5067647466268581,288389
400,200,2000,2000,83.27723169446786,-6.95492108458847,99.6,32.2,0.795431,0.49419482606806225,670487
400,200,2000,2000,87.16983562429526,-4.51939558516391,99.2,24.5,0.889202,0.49748734261098065,116739
400,200,2000,2000,33.33333333333333,inf,0.0,0.0,0.072616,0.4972404519584961,26225
400,200,2000,2000,76.68576022510301,-10.635802409709997,69.8,16.2,0.826557,0.509146797048265,777572
400,200,2000,2000,91.141881887061,-6.605423594935051,99.3,16.900000000000002,0.944733,0.5059464967664717,288389
400,100,2000,2000,84.68237370106529,-1.7386043739505808,99.4,29.4,0.8135589999999999,0.4937194718630067,670487
400,100,2000,2000,86.53957615737045,-4.259590062243249,93.30000000000001,20.1,0.887102,0.49734556734612684,116739
400,100,2000,2000,33.33333333333333,inf,0.0,0.0,0.07875600000000002,0.4962940550326218,26225
400,100,2000,2000,37.6271186440678,-5.070514685592964,4.2,0.8,0.37094499999999997,0.5082480408652155,777572
400,100,2000,2000,86.39651750848215,-5.139160213770296,84.8,12.0,0.9173,0.5073362204906138,288389
400,90,2000,2000,84.8184471607069,-3.286724946664911,97.39999999999999,27.3,0.8302930000000001,0.49380437144247535,670487
400,90,2000,2000,87.06085909877379,-3.828692385043416,92.60000000000001,18.4,0.89564,0.49785664549704006,116739
400,90,2000,2000,33.33333333333333,inf,0.0,0.0,0.09395400000000001,0.49579829454169905,26225
400,90,2000,2000,33.55517117865669,-4.311989170429678,0.2,0.0,0.20141599999999998,0.5084490399112267,777572
400,90,2000,2000,88.19768674660233,-4.251848151096928,89.60000000000001,13.200000000000001,0.926551,0.5065611935635257,288389
400,80,2000,2000,83.61603285315121,-2.8822096988923365,95.8,28.1,0.808033,0.49406491467976843,670487
400,80,2000,2000,88.44173478505145,-3.3387464937151314,95.6,18.6,0.900208,0.49791341480924767,116739
400,80,2000,2000,33.33333333333333,inf,0.0,0.0,0.090735,0.4957984806209858,26225
400,80,2000,2000,34.36513803976495,-3.995850395676941,1.0,0.3,0.242363,0.5075657182430606,777572
400,80,2000,2000,89.45948224976812,-3.2419829280694095,95.7,16.7,0.937125,0.506651622138828,288389
400,70,2000,2000,84.44108408017824,-2.6060509096155777,97.6,28.199999999999996,0.8236479999999999,0.49427848264340046,670487
400,70,2000,2000,71.16671815466998,-3.5490789183915434,55.00000000000001,11.0,0.7423219999999999,0.498036277496598,116739
400,70,2000,2000,33.33333333333333,inf,0.0,0.0,0.094862,0.49611981091163065,26225
400,70,2000,2000,35.92129534740726,-3.5468932700630624,2.4,0.1,0.268289,0.5075098936805125,777572
400,70,2000,2000,88.58680634813845,-3.2214383468374415,92.0,14.799999999999999,0.9360099999999999,0.506945987118121,288389
400,60,2000,2000,84.13467179932844,-1.9312172679433663,96.0,27.3,0.81436,0.49439754347399234,670487
400,60,2000,2000,64.24756056303154,-3.105159652357108,41.4,8.4,0.676619,0.4978286874173762,116739
400,60,2000,2000,33.42201520907484,-3.8459192930820048,99.9,99.9,0.086252,0.49640492863683666,26225
400,60,2000,2000,37.11018711018711,-3.024105207890919,3.5999999999999996,0.4,0.31190100000000004,0.5069100636186683,777572
400,60,2000,2000,89.94788986103963,-2.3395090915294325,97.2,17.2,0.9367050000000001,0.5064741362962588,288389
400,50,2000,2000,84.13685760330361,-1.3950112782050883,98.5,29.599999999999998,0.815366,0.4942668154128942,670487
400,50,2000,2000,55.42519599303136,-2.5239982725522205,26.3,4.9,0.5428310000000001,0.49767730719878905,116739
400,50,2000,2000,33.33333333333333,inf,0.0,0.0,0.14146400000000003,0.49593930591696267,26225
400,50,2000,2000,33.33333333333333,inf,0.0,0.0,0.153901,0.5069970937985613,777572
400,50,2000,2000,89.8844486986796,-0.961120834031661,98.0,18.099999999999998,0.943549,0.5063456042476868,288389
400,40,2000,2000,85.63241650612747,-1.105107652470782,96.6,25.0,0.828044,0.49484319230576757,670487
400,40,2000,2000,83.02738823798005,-1.5927498175831052,86.7,20.599999999999998,0.863755,0.497151291761172,116739
400,40,2000,2000,33.620711135474544,4.840675414739613,0.3,0.2,0.215942,0.49545377810475244,26225
400,40,2000,2000,33.68559545030133,-10.048363581975988,99.6,99.6,0.10222500000000001,0.5074574318601406,777572
400,40,2000,2000,90.18480502115173,0.6820935849973949,98.4,17.9,0.939942,0.5062672688704513,288389
400,30,2000,2000,84.18559379014182,-1.0037664602095262,98.6,29.599999999999998,0.818661,0.4952465693881065,670487
400,30,2000,2000,87.98149149690524,-1.0158734630250836,95.6,19.5,0.8990309999999999,0.4968415118962971,116739
400,30,2000,2000,62.88707856897482,3.2807753514115094,48.9,21.5,0.637841,0.4954108867830771,26225
400,30,2000,2000,33.33333333333333,inf,0.0,0.0,0.09223700000000001,0.507587518377694,777572
400,30,2000,2000,90.4883622092062,1.8846798976259957,98.6,17.5,0.937899,0.5066509126690054,288389
400,20,2000,2000,85.11995141208625,-0.1546491182457768,96.3,25.7,0.841932,0.49547497846067695,670487
400,20,2000,2000,84.03099288928647,-0.8420709524182907,87.5,19.400000000000002,0.861631,0.49663617382992276,116739
400,20,2000,2000,33.7536026046728,2.350282431616437,0.4,0.1,0.15859399999999998,0.49544227307306876,26225
400,20,2000,2000,33.33333333333333,inf,0.0,0.0,0.115563,0.5078497724766664,777572
400,20,2000,2000,90.62405484423832,0.901165217784818,99.7,18.3,0.9426279999999999,0.5066326526069345,288389
400,10,2000,2000,85.87576362328325,0.2628273462128937,98.7,26.5,0.846264,0.49546716018827575,670487
400,10,2000,2000,45.54968379837187,-0.473174464395723,13.4,3.5000000000000004,0.380042,0.4966213474668895,116739
400,10,2000,2000,33.42201520907484,-2.433058457242504,99.9,99.9,0.07841100000000001,0.49534127920021587,26225
400,10,2000,2000,33.33333333333333,inf,0.0,0.0,0.094719,0.5076979205142131,777572
400,10,2000,2000,89.65365222291281,0.535239662466358,99.4,19.900000000000002,0.924754,0.5067871485697502,288389
