Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
80,1000,2000,2000,45.67880458723315,-17.565432748537535,99.9,87.7,0.500799,0.49192507360355814,670487
80,1000,2000,2000,58.06525735294118,-12.741739111707174,99.5,72.5,0.6428649999999999,0.5021917214875805,116739
80,1000,2000,2000,33.95085306850014,-2.8732622945511235,99.8,99.4,0.31026600000000004,0.49204822629765954,26225
80,1000,2000,2000,67.71693394249192,-5.985010628620345,81.10000000000001,44.6,0.7432030000000001,0.5108332246145315,777572
80,1000,2000,2000,63.09647209804589,-1.348627552424638,69.69999999999999,43.2,0.6798229999999998,0.5074998008370667,288389
80,900,2000,2000,48.88295288975231,-17.67659939731893,99.9,84.1,0.498054,0.491738926300896,670487
80,900,2000,2000,57.725469196965086,-11.28390455615679,99.4,72.89999999999999,0.639707,0.5005008392989128,116739
80,900,2000,2000,33.33333333333333,inf,0.0,0.0,0.310974,0.49395258513198653,26225
80,900,2000,2000,61.940429159720786,-23.63709074744233,99.9,67.4,0.708859,0.5078546909346353,777572
80,900,2000,2000,60.61197916666667,-3.3671443993090873,91.7,64.3,0.6756160000000001,0.5051238334415672,288389
80,800,2000,2000,51.26705653021442,-16.215218940162774,99.9,81.3,0.5427770000000001,0.4945633937848851,670487
80,800,2000,2000,60.89991397981075,-10.743634058888222,99.8,68.8,0.648467,0.4969804321753745,116739
80,800,2000,2000,33.33333333333333,inf,0.0,0.0,0.317174,0.4929850521444241,26225
80,800,2000,2000,61.602121863362754,-22.94887693442386,99.6,67.7,0.7133709999999999,0.5096491217636075,777572
80,800,2000,2000,62.09764600648844,-3.0847811607779696,90.60000000000001,61.3,0.694611,0.5056580130737641,288389
80,700,2000,2000,53.3713681312779,-12.90266093510984,99.6,78.60000000000001,0.541054,0.49357219086668486,670487
80,700,2000,2000,57.7301432452884,-12.174805212261843,99.6,73.0,0.630136,0.4987618439752111,116739
80,700,2000,2000,33.33333333333333,inf,0.0,0.0,0.33529200000000003,0.49442401545285214,26225
80,700,2000,2000,61.07359918707191,-20.76806925526134,99.7,68.5,0.6913989999999999,0.5090343680407254,777572
80,700,2000,2000,59.91831822175776,-4.476472161185263,96.39999999999999,68.2,0.673092,0.5072738055526922,288389
