Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
10,1000,2000,2000,46.15202419810566,-2.1386338191251615,80.80000000000001,78.9,0.482616,0.49192507360355814,670487
10,1000,2000,2000,38.04107056501827,-9.451465010672743,99.6,95.5,0.5194939999999999,0.5021917214875805,116739
10,1000,2000,2000,34.01456510998621,-3.2550675871409394,99.6,99.3,0.456402,0.49204822629765954,26225
10,1000,2000,2000,46.172870356854915,-4.405764048474572,94.0,84.89999999999999,0.541328,0.5108332246145315,777572
10,1000,2000,2000,50.25945175799116,-0.8834818433103095,75.4,69.8,0.526356,0.5074998008370667,288389
10,900,2000,2000,38.005390835579504,-7.053426365810554,98.7,95.3,0.485602,0.491738926300896,670487
10,900,2000,2000,47.674704010639104,-1.663582842655861,85.3,79.10000000000001,0.518504,0.5005008392989128,116739
10,900,2000,2000,34.077635144150676,-3.065772789950301,99.4,99.2,0.4641969999999999,0.49395258513198653,26225
10,900,2000,2000,51.8965583590954,-2.5233525159243166,80.4,70.39999999999999,0.557707,0.5078546909346353,777572
10,900,2000,2000,48.05277293844366,-1.8253305210592632,88.6,80.2,0.524803,0.5051238334415672,288389
10,800,2000,2000,38.20120779252733,-5.899643823506775,98.3,95.0,0.467919,0.4945633937848851,670487
10,800,2000,2000,43.93251257413107,-2.427855435056157,90.60000000000001,86.2,0.506443,0.4969804321753745,116739
10,800,2000,2000,33.33333333333333,inf,0.0,0.0,0.46998399999999996,0.4929850521444241,26225
10,800,2000,2000,51.47515527950311,-2.9194114372426996,84.3,73.3,0.562338,0.5096491217636075,777572
10,800,2000,2000,48.301595008181835,-1.6782395666028338,87.2,79.2,0.540221,0.5056580130737641,288389
10,700,2000,2000,49.850655884032015,-1.6371139930935492,74.4,69.8,0.498521,0.49357219086668486,670487
10,700,2000,2000,49.03764265031511,-1.383789073522984,82.0,75.5,0.527038,0.4987618439752111,116739
10,700,2000,2000,34.89258743309626,-2.515001668208916,98.3,98.2,0.47512,0.49442401545285214,26225
10,700,2000,2000,48.232040692955884,-3.245996787918593,85.39999999999999,78.4,0.539021,0.5090343680407254,777572
10,700,2000,2000,55.05122528099889,-0.22856841069323272,61.9,51.4,0.564941,0.5072738055526922,288389
10,600,2000,2000,48.41041649552288,-2.1317691179843483,82.39999999999999,76.6,0.499644,0.4965253028798997,670487
10,600,2000,2000,45.552253055227176,-2.0067626622823513,88.4,83.3,0.521143,0.49743104608580224,116739
10,600,2000,2000,33.33333333333333,inf,0.0,0.0,0.43178500000000003,0.49370254284977433,26225
10,600,2000,2000,54.927181885829704,-0.6391907986300321,52.7,42.8,0.556389,0.5064012263424091,777572
10,600,2000,2000,49.11470216966075,-1.6068992675352705,82.19999999999999,75.5,0.538466,0.5078339552027445,288389
10,500,2000,2000,41.76730794966669,-2.9189039603193563,93.0,89.60000000000001,0.48685,0.49604820914291625,670487
10,500,2000,2000,52.794986716991865,-0.10364557394723507,60.4,54.300000000000004,0.530019,0.4966561941954337,116739
10,500,2000,2000,38.58601674487696,-2.0117188957818306,96.1,94.0,0.45023399999999997,0.49386783041924853,26225
10,500,2000,2000,48.60371078966167,-3.0214566539511987,87.0,78.7,0.545741,0.5088159400394956,777572
10,500,2000,2000,55.11990331659889,-0.5213921897809851,63.3,52.5,0.559695,0.5088108783500433,288389
10,400,2000,2000,48.71622755495889,-1.6078386147073707,78.5,74.0,0.501771,0.49658586505058366,670487
10,400,2000,2000,37.31823260775619,-12.026594335687427,99.6,96.2,0.507887,0.49694568995972377,116739
10,400,2000,2000,36.40914281053748,-2.326385694248784,96.5,96.3,0.46046499999999996,0.49603825216222214,26225
10,400,2000,2000,53.96739990504826,-1.0546358958704694,65.8,56.699999999999996,0.536085,0.5085885868994681,777572
10,400,2000,2000,46.70798612344722,-2.323262855475087,89.2,82.19999999999999,0.544176,0.5068631080105614,288389
10,300,2000,2000,42.03984172835866,-2.313972475462827,93.30000000000001,89.4,0.5055280000000001,0.49568172282236067,670487
10,300,2000,2000,44.94735945968955,-1.4869607734883241,86.0,83.0,0.497699,0.4972851211383399,116739
10,300,2000,2000,34.95500399407717,-2.966108727676222,99.0,98.3,0.450336,0.4975371412670918,26225
10,300,2000,2000,53.0644228067835,-1.5532807639754591,70.89999999999999,62.2,0.5486,0.5081488635048615,777572
10,300,2000,2000,52.21259851576722,-0.9254688910655403,75.2,66.60000000000001,0.554759,0.5067647466268581,288389
10,200,2000,2000,36.97811015796205,-11.901590168210738,99.9,96.6,0.49209700000000006,0.49419482606806225,670487
10,200,2000,2000,45.501110993878456,-0.7394596119852085,87.8,83.1,0.50425,0.49748734261098065,116739
10,200,2000,2000,41.73639184676968,-1.4536177504926926,90.4,88.7,0.484568,0.4972404519584961,26225
10,200,2000,2000,52.471853404084044,-1.1607696037076156,60.4,54.900000000000006,0.5256829999999999,0.509146797048265,777572
10,200,2000,2000,54.3843043184987,-0.4219870119495427,69.89999999999999,59.199999999999996,0.558074,0.5059464967664717,288389
10,100,2000,2000,45.85026922569269,0.1279188917224753,85.7,81.69999999999999,0.50485,0.4937194718630067,670487
10,100,2000,2000,52.395483674092155,-0.2344211647185202,66.2,59.8,0.516054,0.49734556734612684,116739
10,100,2000,2000,36.8257987483531,-2.463513259868328,98.1,96.3,0.4828530000000001,0.4962940550326218,26225
10,100,2000,2000,54.63910204426613,-1.0248273383857442,53.1,43.8,0.541847,0.5082480408652155,777572
10,100,2000,2000,55.32738448839724,-0.41856611053076614,57.599999999999994,46.9,0.558529,0.5073362204906138,288389
10,90,2000,2000,46.27599673523364,-1.1369151185471038,89.1,82.69999999999999,0.528254,0.49380437144247535,670487
10,90,2000,2000,43.96413704771053,-2.4280311063343976,91.2,86.4,0.514919,0.49785664549704006,116739
10,90,2000,2000,36.8257987483531,-2.1154484130208053,98.1,96.3,0.462015,0.49579829454169905,26225
10,90,2000,2000,52.77168942521836,-0.9011639808081592,44.2,37.9,0.528654,0.5084490399112267,777572
10,90,2000,2000,49.90220038248581,-1.6027537373545047,82.6,74.6,0.5480700000000001,0.5065611935635257,288389
10,80,2000,2000,37.49547389341723,-4.486442742222529,98.7,95.8,0.48843499999999995,0.49406491467976843,670487
10,80,2000,2000,52.82819483306157,0.3709778083148712,50.7,45.0,0.517517,0.49791341480924767,116739
10,80,2000,2000,40.9019437887943,-1.3357873300535303,90.8,89.8,0.478509,0.4957984806209858,26225
10,80,2000,2000,52.68346111719606,-1.2289795076250636,56.49999999999999,51.0,0.525704,0.5075657182430606,777572
