Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
300,1000,2000,2000,67.77397795225788,-16.712319402225322,99.9,58.8,0.593139,0.49192507360355814,670487
300,1000,2000,2000,85.32455660287944,-10.607385383388431,99.3,28.1,0.854876,0.5021917214875805,116739
300,1000,2000,2000,33.33333333333333,inf,0.0,0.0,0.08545,0.49204822629765954,26225
300,1000,2000,2000,89.44122081716363,-17.113040131840922,99.7,20.599999999999998,0.928475,0.5108332246145315,777572
300,1000,2000,2000,82.12416047396512,-5.308075242113135,97.0,32.0,0.8729830000000001,0.5074998008370667,288389
300,900,2000,2000,75.60975609756099,-17.000243577153807,99.9,46.1,0.681368,0.491738926300896,670487
300,900,2000,2000,84.69330286232693,-8.784025699865875,97.89999999999999,28.000000000000004,0.859221,0.5005008392989128,116739
300,900,2000,2000,33.33333333333333,inf,0.0,0.0,0.099342,0.49395258513198653,26225
300,900,2000,2000,88.91955826984214,-22.43260692759344,99.9,21.8,0.91029,0.5078546909346353,777572
300,900,2000,2000,81.93715519457311,-6.339221043307982,99.3,34.4,0.865201,0.5051238334415672,288389
300,800,2000,2000,77.75492787231643,-13.491982384189384,99.9,42.4,0.7192260000000001,0.4945633937848851,670487
300,800,2000,2000,84.21113544163217,-8.29408289362888,99.2,30.099999999999998,0.8357459999999999,0.4969804321753745,116739
300,800,2000,2000,33.33333333333333,inf,0.0,0.0,0.10546499999999999,0.4929850521444241,26225
300,800,2000,2000,88.67753623188406,-21.420251929000756,99.2,21.6,0.915333,0.5096491217636075,777572
300,800,2000,2000,84.63790710496795,-4.332194827109887,96.6,26.900000000000002,0.8928419999999999,0.5056580130737641,288389
300,700,2000,2000,77.29888063604979,-12.316652990264725,99.3,42.699999999999996,0.7213029999999999,0.49357219086668486,670487
300,700,2000,2000,82.9749875902018,-8.932119651188264,99.2,32.4,0.8360009999999999,0.4987618439752111,116739
300,700,2000,2000,33.33333333333333,inf,0.0,0.0,0.12007900000000002,0.49442401545285214,26225
300,700,2000,2000,89.03929413054202,-20.598288355152235,99.2,20.9,0.9080360000000001,0.5090343680407254,777572
300,700,2000,2000,83.84616642947115,-5.755369120716483,99.0,30.599999999999998,0.885657,0.5072738055526922,288389
300,600,2000,2000,77.29888063604979,-11.408069342162301,99.3,42.699999999999996,0.7422170000000002,0.4965253028798997,670487
300,600,2000,2000,83.08844028272028,-8.64921964131079,99.1,32.1,0.8323349999999999,0.49743104608580224,116739
300,600,2000,2000,33.33333333333333,inf,0.0,0.0,0.09116199999999999,0.49370254284977433,26225
300,600,2000,2000,86.27868897446922,-19.5772420470217,99.2,26.200000000000003,0.874916,0.5064012263424091,777572
300,600,2000,2000,85.37346711259755,-6.9305847012883985,99.4,28.1,0.8939149999999999,0.5078339552027445,288389
300,500,2000,2000,75.47932794456122,-9.525454046650234,98.5,45.2,0.6991969999999998,0.49604820914291625,670487
300,500,2000,2000,81.63100191532924,-8.560595482081983,99.8,35.4,0.818837,0.4966561941954337,116739
300,500,2000,2000,33.42201520907484,-3.0704746943170185,99.9,99.9,0.09144300000000001,0.49386783041924853,26225
300,500,2000,2000,86.0227828639318,-18.48579704371783,99.0,26.5,0.888427,0.5088159400394956,777572
300,500,2000,2000,87.83345212615494,-8.314007159487398,99.7,23.7,0.915411,0.5088108783500433,288389
300,400,2000,2000,74.60281329168618,-9.414212323022317,98.5,46.7,0.714242,0.49658586505058366,670487
300,400,2000,2000,81.78592597471021,-6.544102877656246,99.1,34.5,0.833899,0.49694568995972377,116739
