Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
100,1000,2000,2000,48.09708102496982,-18.468595928451695,99.9,85.0,0.49773899999999993,0.49192507360355814,670487
100,1000,2000,2000,62.26580372153512,-11.646434999427411,99.5,66.7,0.6714779999999999,0.5021917214875805,116739
100,1000,2000,2000,33.33333333333333,inf,0.0,0.0,0.26789700000000005,0.49204822629765954,26225
100,1000,2000,2000,70.12170647739289,-7.466207921088663,87.6,45.7,0.766449,0.5108332246145315,777572
100,1000,2000,2000,65.42031307451921,-1.5954320597597158,73.8,42.5,0.708576,0.5074998008370667,288389
100,900,2000,2000,53.3223235543897,-16.398772269556005,99.9,78.8,0.508782,0.491738926300896,670487
100,900,2000,2000,62.56047087364608,-10.864540283096442,99.7,66.4,0.6792079999999999,0.5005008392989128,116739
100,900,2000,2000,33.33333333333333,inf,0.0,0.0,0.29346900000000004,0.49395258513198653,26225
100,900,2000,2000,66.06176593048289,-23.097093701968696,99.9,61.4,0.7351489999999999,0.5078546909346353,777572
100,900,2000,2000,64.0475782882736,-3.6277058287579695,92.30000000000001,59.4,0.700091,0.5051238334415672,288389
100,800,2000,2000,55.11773402488303,-13.827954809010373,99.8,76.5,0.552476,0.4945633937848851,670487
100,800,2000,2000,64.12655971479501,-10.016486764918511,99.8,64.2,0.6738379999999999,0.4969804321753745,116739
100,800,2000,2000,33.51028462917356,-2.88088322300148,99.8,99.8,0.280924,0.4929850521444241,26225
100,800,2000,2000,64.3317304869943,-22.204852740342755,99.8,63.9,0.731775,0.5096491217636075,777572
100,800,2000,2000,66.35675763642921,-2.6570108668351007,88.1,52.6,0.7285499999999999,0.5056580130737641,288389
100,700,2000,2000,56.59319232697629,-13.864606982039362,99.8,74.6,0.545023,0.49357219086668486,670487
100,700,2000,2000,60.745162181107546,-10.77807220995289,99.6,68.89999999999999,0.646718,0.4987618439752111,116739
100,700,2000,2000,33.33333333333333,inf,0.0,0.0,0.30267299999999997,0.49442401545285214,26225
100,700,2000,2000,65.22222995061556,-19.246267403525586,99.2,62.2,0.727005,0.5090343680407254,777572
100,700,2000,2000,64.95692800464961,-3.540804042392319,92.5,58.099999999999994,0.707812,0.5072738055526922,288389
100,600,2000,2000,57.35274216385492,-13.284613222084435,99.6,73.5,0.567666,0.4965253028798997,670487
100,600,2000,2000,61.091812311194346,-9.765035014854096,99.4,68.30000000000001,0.659994,0.49743104608580224,116739
100,600,2000,2000,33.42201520907484,-3.3872497718753265,99.9,99.9,0.290645,0.49370254284977433,26225
100,600,2000,2000,65.14632034632034,-19.323174686297286,99.8,62.7,0.695087,0.5064012263424091,777572
100,600,2000,2000,63.63536789068704,-5.207330805631273,96.3,62.7,0.712563,0.5078339552027445,288389
100,500,2000,2000,55.70429586732737,-12.011912753882775,99.7,75.7,0.550132,0.49604820914291625,670487
100,500,2000,2000,59.65811965811966,-8.171940936767827,99.6,70.39999999999999,0.6381910000000001,0.4966561941954337,116739
100,500,2000,2000,33.59814393531928,-3.1538433247096855,99.7,99.7,0.26778199999999996,0.49386783041924853,26225
100,500,2000,2000,66.50556392001307,-17.199343731353576,99.4,60.4,0.719484,0.5088159400394956,777572
100,500,2000,2000,66.02560596434687,-4.404451283990818,89.9,54.50000000000001,0.724074,0.5088108783500433,288389
100,400,2000,2000,55.393260883825675,-9.962606069795537,99.5,76.0,0.5711109999999999,0.49658586505058366,670487
100,400,2000,2000,59.8040990709395,-8.608061967719282,99.6,70.19999999999999,0.6358459999999999,0.49694568995972377,116739
100,400,2000,2000,34.186532003201556,-3.240073495222828,99.4,99.1,0.287068,0.49603825216222214,26225
100,400,2000,2000,64.21000238877424,-15.493005656576415,99.2,63.7,0.688801,0.5085885868994681,777572
100,400,2000,2000,65.74313408507227,-4.423775356411955,94.0,57.9,0.7240380000000001,0.5068631080105614,288389
100,300,2000,2000,54.16804559661702,-2.17754196829239,99.8,77.7,0.553011,0.49568172282236067,670487
100,300,2000,2000,60.13619658939856,-6.9994841333306645,99.7,69.8,0.6511539999999999,0.4972851211383399,116739
100,300,2000,2000,33.59814393531928,-3.671226025258098,99.7,99.7,0.282346,0.4975371412670918,26225
100,300,2000,2000,62.67825311942959,-15.203179191132444,98.5,65.5,0.6895519999999999,0.5081488635048615,777572
100,300,2000,2000,65.65555432447523,-5.34591141109486,95.1,58.8,0.7290479999999999,0.5067647466268581,288389
100,200,2000,2000,59.02275549711447,-7.870199408768909,99.3,71.1,0.580907,0.49419482606806225,670487
100,200,2000,2000,62.5312414676664,-5.494858756426369,99.3,66.2,0.658688,0.49748734261098065,116739
100,200,2000,2000,33.99156573593451,-3.306234897429952,99.5,99.3,0.30159400000000003,0.4972404519584961,26225
100,200,2000,2000,64.01330460643479,-13.228741039804888,97.8,63.1,0.7069340000000001,0.509146797048265,777572
100,200,2000,2000,67.53441546753947,-2.9578175435431406,88.1,50.6,0.744516,0.5059464967664717,288389
100,100,2000,2000,58.21466412740396,-0.42158456098943925,99.5,72.3,0.5795769999999999,0.4937194718630067,670487
100,100,2000,2000,59.44490641656556,-6.79546623720078,98.9,70.3,0.651502,0.49734556734612684,116739
100,100,2000,2000,33.33333333333333,inf,0.0,0.0,0.307149,0.4962940550326218,26225
100,100,2000,2000,64.12646197364872,-9.563206462627075,91.9,59.0,0.683467,0.5082480408652155,777572
100,100,2000,2000,66.93148135871888,-3.8459464733486968,85.5,49.6,0.740737,0.5073362204906138,288389
100,90,2000,2000,60.77555722905631,-6.443359596927361,99.5,68.8,0.604448,0.49380437144247535,670487
100,90,2000,2000,61.591978787991096,-6.643166741302087,98.9,67.30000000000001,0.663653,0.49785664549704006,116739
100,90,2000,2000,33.33333333333333,inf,0.0,0.0,0.309113,0.49579829454169905,26225
100,90,2000,2000,64.07970790342043,-8.749805826604739,83.3,52.800000000000004,0.663932,0.5084490399112267,777572
100,90,2000,2000,66.91293494831716,-3.6825977870852054,89.60000000000001,52.800000000000004,0.729155,0.5065611935635257,288389
100,80,2000,2000,54.925445987021796,-5.92333755797106,99.3,76.5,0.540513,0.49406491467976843,670487
100,80,2000,2000,61.07212862712408,-5.080245602367146,98.5,67.80000000000001,0.6626470000000001,0.49791341480924767,116739
100,80,2000,2000,33.7536026046728,-2.703665572941256,99.9,99.6,0.31057799999999997,0.4957984806209858,26225
100,80,2000,2000,63.19026323091914,-7.750852080727687,82.1,53.400000000000006,0.645926,0.5075657182430606,777572
100,80,2000,2000,65.71120001560448,-1.8747790628172818,82.69999999999999,49.5,0.7160930000000001,0.506651622138828,288389
100,70,2000,2000,59.063367566140215,-5.189293392362128,99.4,71.1,0.5773349999999999,0.49427848264340046,670487
100,70,2000,2000,63.4747274464595,-5.7730003949772115,94.69999999999999,61.9,0.67467,0.498036277496598,116739
100,70,2000,2000,33.42201520907484,-2.9303469585264894,99.9,99.9,0.30481199999999997,0.49611981091163065,26225
100,70,2000,2000,63.91803396990052,-6.1660199444513655,77.2,48.199999999999996,0.648464,0.5075098936805125,777572
100,70,2000,2000,68.60327822951312,-2.4295517106389912,86.4,47.4,0.770799,0.506945987118121,288389
100,60,2000,2000,57.446125188682274,-4.324738348767419,98.7,72.89999999999999,0.575763,0.49439754347399234,670487
100,60,2000,2000,64.3228553861102,-5.561445799139406,95.0,60.8,0.684116,0.4978286874173762,116739
100,60,2000,2000,33.70827860174236,-3.7818161746340477,99.7,99.6,0.293496,0.49640492863683666,26225
100,60,2000,2000,64.21387761146143,-5.736606149250714,81.8,51.4,0.6465759999999999,0.5069100636186683,777572
100,60,2000,2000,62.99913194444443,-2.543020045447521,93.89999999999999,62.1,0.7138720000000001,0.5064741362962588,288389
100,50,2000,2000,57.185864209077806,-3.159916219857014,98.8,73.3,0.5597239999999999,0.4942668154128942,670487
100,50,2000,2000,62.05525281157427,-4.527725957990568,90.8,61.5,0.6486860000000001,0.49767730719878905,116739
100,50,2000,2000,33.33333333333333,inf,0.0,0.0,0.299326,0.49593930591696267,26225
100,50,2000,2000,60.97560975609756,-4.868193593753426,58.5,36.5,0.5828869999999999,0.5069970937985613,777572
100,50,2000,2000,64.54874259336665,-2.298935845049976,97.8,62.3,0.733749,0.5063456042476868,288389
100,40,2000,2000,57.813336016206996,-2.7884838533011185,98.5,72.3,0.5847120000000001,0.49484319230576757,670487
100,40,2000,2000,59.82493547301089,-3.602890928222973,97.2,68.8,0.6393949999999999,0.497151291761172,116739
100,40,2000,2000,33.795439837848534,-2.4036071113550754,99.6,99.5,0.32120499999999996,0.49545377810475244,26225
100,40,2000,2000,46.53964079785784,-3.8924941704270655,16.2,7.6,0.45510000000000006,0.5074574318601406,777572
100,40,2000,2000,66.4421537928796,-0.15674299467055655,94.3,56.99999999999999,0.7279260000000001,0.5062672688704513,288389
100,30,2000,2000,56.20071858557212,-2.1441171171688476,98.8,74.6,0.574365,0.4952465693881065,670487
100,30,2000,2000,61.73268993378971,-2.604109733089643,98.9,67.10000000000001,0.663393,0.4968415118962971,116739
100,30,2000,2000,33.92798149983483,-0.5646316154668873,99.7,99.4,0.339524,0.4954108867830771,26225
100,30,2000,2000,39.244403308272155,-2.972312690862395,7.1,5.3,0.40726199999999996,0.507587518377694,777572
100,30,2000,2000,67.27321533305019,1.005935997360407,90.8,53.1,0.738619,0.5066509126690054,288389
100,20,2000,2000,59.372126039597674,-1.5062235117031575,98.9,70.39999999999999,0.589526,0.49547497846067695,670487
100,20,2000,2000,60.76852066097837,-1.4794785089700548,88.4,61.9,0.6526620000000001,0.49663617382992276,116739
100,20,2000,2000,33.33333333333333,inf,0.0,0.0,0.335591,0.49544227307306876,26225
100,20,2000,2000,37.57006165425574,-6.289027415398524,94.89999999999999,94.69999999999999,0.37772900000000004,0.5078497724766664,777572
100,20,2000,2000,66.74026268115942,1.7562300481407804,77.5,43.3,0.720471,0.5066326526069345,288389
100,10,2000,2000,59.12088262455322,-0.5591601859537957,99.0,70.8,0.604009,0.49546716018827575,670487
100,10,2000,2000,62.06616959747069,-0.905226000813166,71.0,46.300000000000004,0.6018560000000001,0.4966213474668895,116739
100,10,2000,2000,33.33333333333333,inf,0.0,0.0,0.30797399999999997,0.49534127920021587,26225
100,10,2000,2000,35.071524099721,-4.54298742588712,98.6,98.1,0.35148199999999996,0.5076979205142131,777572
100,10,2000,2000,66.76308916080522,0.4763020494149977,93.2,55.7,0.76233,0.5067871485697502,288389
