Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
90,1000,2000,2000,46.85477006086512,-17.657661771935214,99.9,86.4,0.5034150000000001,0.49192507360355814,670487
90,1000,2000,2000,60.50780847758167,-11.09809194740974,99.2,69.0,0.661929,0.5021917214875805,116739
90,1000,2000,2000,33.33333333333333,inf,0.0,0.0,0.283189,0.49204822629765954,26225
90,1000,2000,2000,67.28781255390675,-8.320890753646927,91.10000000000001,53.300000000000004,0.7457659999999999,0.5108332246145315,777572
90,1000,2000,2000,63.19834528083936,-2.449566727034043,84.89999999999999,55.50000000000001,0.6883170000000001,0.5074998008370667,288389
90,900,2000,2000,50.84787417055788,-18.231603377182843,99.9,81.8,0.499661,0.491738926300896,670487
90,900,2000,2000,60.20877885289867,-11.748978855242608,99.7,69.69999999999999,0.6580969999999999,0.5005008392989128,116739
90,900,2000,2000,33.33333333333333,inf,0.0,0.0,0.30559,0.49395258513198653,26225
90,900,2000,2000,62.504655297201204,-22.65582556061685,99.9,66.60000000000001,0.702547,0.5078546909346353,777572
90,900,2000,2000,60.64206500913746,-4.487439157086702,95.3,66.5,0.6791670000000001,0.5051238334415672,288389
90,800,2000,2000,52.87938099509857,-13.847421960435351,99.8,79.3,0.539532,0.4945633937848851,670487
90,800,2000,2000,62.35007462552373,-10.038463005760066,99.7,66.7,0.6575840000000001,0.4969804321753745,116739
90,800,2000,2000,33.33333333333333,inf,0.0,0.0,0.30223900000000004,0.4929850521444241,26225
90,800,2000,2000,63.28377201401922,-21.250309498013216,99.6,65.3,0.724397,0.5096491217636075,777572
90,800,2000,2000,64.108695314182,-2.832567827328704,88.6,56.699999999999996,0.699467,0.5056580130737641,288389
90,700,2000,2000,55.43118864669403,-14.071410900473444,99.8,76.1,0.547311,0.49357219086668486,670487
90,700,2000,2000,58.923310163334186,-10.770408580496689,99.6,71.39999999999999,0.6345859999999999,0.4987618439752111,116739
90,700,2000,2000,33.33333333333333,inf,0.0,0.0,0.33002,0.49442401545285214,26225
90,700,2000,2000,62.40601503759399,-19.900748541344807,99.5,66.5,0.6988019999999999,0.5090343680407254,777572
90,700,2000,2000,63.557606117498146,-2.7970368068728746,86.8,56.3,0.702923,0.5072738055526922,288389
90,600,2000,2000,55.039130007165646,-13.674064170451025,99.8,76.6,0.550864,0.4965253028798997,670487
90,600,2000,2000,59.84506460245617,-9.71761182453574,99.7,70.19999999999999,0.639299,0.49743104608580224,116739
90,600,2000,2000,33.33333333333333,inf,0.0,0.0,0.29392300000000005,0.49370254284977433,26225
90,600,2000,2000,63.1608237195027,-18.939546536765103,99.8,65.60000000000001,0.6823730000000001,0.5064012263424091,777572
90,600,2000,2000,62.93837813917469,-5.680353176537747,97.5,64.5,0.7036229999999999,0.5078339552027445,288389
90,500,2000,2000,54.52730547294683,-11.090758498696617,99.7,77.2,0.552265,0.49604820914291625,670487
90,500,2000,2000,57.50396634452522,-7.714837505267106,99.6,73.3,0.621761,0.4966561941954337,116739
90,500,2000,2000,33.51028462917356,-3.269990952380295,99.8,99.8,0.275049,0.49386783041924853,26225
90,500,2000,2000,63.44840575059815,-17.96539980810413,99.5,65.0,0.70007,0.5088159400394956,777572
90,500,2000,2000,64.39671085752643,-4.758139568623506,93.10000000000001,59.4,0.708939,0.5088108783500433,288389
90,400,2000,2000,53.84831656871959,-12.824095514968386,99.8,78.10000000000001,0.56376,0.49658586505058366,670487
90,400,2000,2000,57.95036764705883,-8.178551678539742,99.4,72.6,0.6234169999999999,0.49694568995972377,116739
90,400,2000,2000,33.42201520907484,-4.939527979302644,99.9,99.9,0.294045,0.49603825216222214,26225
90,400,2000,2000,62.809675859760596,-15.98910969433997,99.3,65.8,0.689929,0.5085885868994681,777572
90,400,2000,2000,64.30029114854018,-5.017734548180009,95.7,61.3,0.71386,0.5068631080105614,288389
90,300,2000,2000,51.086240810379756,-7.5602475088284145,99.4,81.3,0.5391250000000001,0.49568172282236067,670487
90,300,2000,2000,57.770063468771596,-7.255231541724745,99.7,73.0,0.630511,0.4972851211383399,116739
90,300,2000,2000,33.53273512794949,-4.084076886309642,99.9,99.8,0.303664,0.4975371412670918,26225
90,300,2000,2000,60.22953883212685,-15.600598157751554,98.7,69.1,0.67806,0.5081488635048615,777572
90,300,2000,2000,64.85935804821253,-4.239699773233002,90.3,56.699999999999996,0.7118209999999999,0.5067647466268581,288389
90,200,2000,2000,57.995571697531304,-8.55313089541047,99.7,72.7,0.574445,0.49419482606806225,670487
90,200,2000,2000,58.9086127547666,-5.418593198854206,99.2,71.2,0.634807,0.49748734261098065,116739
90,200,2000,2000,34.752051256905624,-2.634680820552205,98.6,98.4,0.32389299999999993,0.4972404519584961,26225
90,200,2000,2000,63.066233539348445,-12.595121856355478,97.8,64.5,0.703232,0.509146797048265,777572
90,200,2000,2000,66.238067544216,-3.1096086938114467,88.1,52.800000000000004,0.7357819999999999,0.5059464967664717,288389
90,100,2000,2000,57.09172208985896,-1.0608404802933156,99.9,74.0,0.577635,0.4937194718630067,670487
90,100,2000,2000,57.91550675594098,-7.6223324529245,99.5,72.7,0.643805,0.49734556734612684,116739
90,100,2000,2000,33.33333333333333,inf,0.0,0.0,0.313855,0.4962940550326218,26225
90,100,2000,2000,61.71310866585499,-9.603631849257729,94.3,64.3,0.6717879999999999,0.5082480408652155,777572
90,100,2000,2000,65.45951845158766,-3.885154261066032,86.5,52.900000000000006,0.7308330000000001,0.5073362204906138,288389
90,90,2000,2000,58.801777409031786,-6.500622164383048,99.3,71.39999999999999,0.5960350000000001,0.49380437144247535,670487
90,90,2000,2000,59.58085402310807,-6.919911478884154,98.7,70.0,0.6613,0.49785664549704006,116739
90,90,2000,2000,33.81822425940072,-2.640407953601877,99.7,99.5,0.32356399999999996,0.49579829454169905,26225
90,90,2000,2000,61.05687606112055,-9.016986317491892,87.3,60.699999999999996,0.661338,0.5084490399112267,777572
90,90,2000,2000,62.33691023675695,-4.490362221912663,94.19999999999999,63.3,0.697102,0.5065611935635257,288389
90,80,2000,2000,53.333870200313335,-6.412902735749527,99.5,78.60000000000001,0.5332870000000001,0.49406491467976843,670487
90,80,2000,2000,59.84864982578397,-5.709844384140751,99.0,69.8,0.6616339999999999,0.49791341480924767,116739
90,80,2000,2000,33.94552619654377,-2.457177059796481,99.3,99.3,0.336376,0.4957984806209858,26225
